"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",9.86794093168176e-07,510.7,0.42776730367566,13,5.70192801909529,3,3.83573850394681,2,0.885128404798273,1425,0,1110.5
"Memory CD4 T","Platelet","CD40LG","CD9",2.61537787174439e-06,411.5,0.441005481696823,11,4.30340662096483,18,3.18552571333367,12,0.907618914407228,906,0,1110.5
"Platelet","DC","PF4","CXCR3",8.65889253826785e-06,436.1,0.327632133837452,29,5.77184406723637,2,4.02859149284998,1,0.901095499547276,1038,0,1110.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.39370458144719e-05,275.1,0.208878769289106,70,1.62282516105962,132,3.68968795373246,6,0.956928441310094,57,0,1110.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.47960665439244e-05,279.7,0.164192722177866,110,1.60992812672687,134,3.73362903628161,4,0.960071395706899,40,0,1110.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.94743968368035e-05,652.3,0.729804053746232,3,5.90512864604543,1,2.51664446233282,45,0.85631474385919,2102,0,1110.5
"Naive CD4 T","Platelet","CD40LG","CD9",2.85036815503812e-05,514.3,0.280342539147214,40,4.14213662348803,23,2.95840241091465,19,0.886791615154398,1379,0,1110.5
"CD14+ Mono","B","S100A8","CD69",3.0788423875849e-05,396.7,0.112465871482318,258,1.01905114136245,399,2.90294284169921,23,0.940305623907516,193,0,1110.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",4.87634578035778e-05,390.3,0.114959581730333,244,1.03056143098114,389,2.92729157070242,20,0.940918158563031,188,0,1110.5
"NK","NK","SPON2","ITGB2",4.88596855687908e-05,310.3,0.162089194530735,114,1.98664350930498,102,2.52774087388591,44,0.941403268824473,181,0,1110.5
"Platelet","Memory CD4 T","PF4","CXCR3",5.40505046888898e-05,510.1,0.24216615774628,52,5.67184266534246,5,3.82703086945403,3,0.886785896909887,1380,0,1110.5
"Platelet","Platelet","F13A1","ITGB1",6.23868116476128e-05,487.3,0.40574158213111,16,4.16963371076923,22,2.42891353163209,52,0.892162091733666,1236,0,1110.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.54628346942076e-05,309.7,0.158144124486953,123,1.36382989267179,198,3.65555202194477,7,0.950815528290401,110,0,1110.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",6.74226613346544e-05,318.7,0.124311888586479,200,1.35093285833904,205,3.69949310449392,5,0.95438328140936,73,0,1110.5
"B","CD8 T","HLA-DQA1","LAG3",7.26000983013582e-05,586.5,0.242604158873729,51,1.36223199058834,200,2.04812287961994,83,0.882931105492428,1488,0,1110.5
"Memory CD4 T","NK","B2M","KLRD1",7.50142250710615e-05,470.9,0.0805286393612865,521,1.29437924936258,231,1.21068514910468,378,0.950374351284104,114,0,1110.5
