"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"NK","NK","SPON2","ITGB2",6.5582891044298e-07,318.6,0.170597444230767,115,2.07462873324426,107,2.63001142706748,46,0.943826097966183,173,0,1152
"Platelet","CD14+ Mono","PF4","LRP1",2.04572245380425e-06,506,0.430350924450724,17,5.85273147294835,4,3.87363218125291,3,0.888770645030048,1354,0,1152
"Memory CD4 T","Platelet","CD40LG","CD9",2.42764322130797e-06,416.8,0.448305185300492,14,4.4877777260262,18,3.22834838487744,16,0.909686613566641,884,0,1152
"NK","FCGR3A+ Mono","HLA-C","LILRA3",6.75318317137852e-06,409.2,0.106548030720547,325,1.61062445743636,156,1.54197837201131,223,0.942163372192031,190,0,1152
"NK","FCGR3A+ Mono","SPON2","ITGB2",8.80714303931649e-06,357.8,0.135891073662747,184,1.86616316014906,120,2.15881096683289,78,0.937483178457292,255,0,1152
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",9.53170491363813e-06,284.2,0.199354016504287,80,1.77404510954559,123,3.78727475145919,8,0.957447335262875,58,0,1152
"NK","NK","HLA-B","KLRD1",9.86708387728192e-06,407.4,0.101346563639369,356,1.59861805180362,160,1.60003621410555,195,0.943730758273829,174,0,1152
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.50655638920202e-05,292.2,0.159142695126269,138,1.76136383367306,127,3.86121172539797,4,0.960486919988473,40,0,1152
"Platelet","DC","PF4","CXCR3",1.62809555118527e-05,420.6,0.329252842218662,34,5.9120640780514,3,4.0851663264392,1,0.908383066107812,913,0,1152
"Naive CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",1.68784933091538e-05,714.8,0.285601963379458,43,4.6765343457568,16,1.89384768668059,113,0.848288513685347,2250,0,1152
"NK","DC","B2M","CD1C",1.72327342431704e-05,409.4,0.101901140365151,349,2.40525531957569,97,1.3478772345215,336,0.951831771408913,113,0,1152
"NK","DC","SPON2","ITGB2",2.07342861782758e-05,433.4,0.10608797441219,327,1.6871493346295,142,1.79216110440726,133,0.929822807943908,413,0,1152
"Naive CD4 T","Platelet","CD40LG","CD9",2.21223846869225e-05,535.8,0.265268446663616,54,4.31612777602617,22,2.9867314625983,22,0.88568955157018,1429,0,1152
"NK","CD14+ Mono","SPON2","ITGB2",2.30941022839641e-05,427.8,0.105298304806199,330,1.68240614413523,145,2.0300285841245,90,0.929578653729731,422,0,1152
"NK","Platelet","CALR","ITGA2B",2.36465677729629e-05,340,0.197511403553618,81,5.95340241114463,2,2.74136141023896,41,0.92945100726595,424,0,1152
"CD14+ Mono","NK","CD14","ITGB2",2.94413324472349e-05,377.8,0.147114762992206,159,1.35648663994446,242,2.33391159372701,63,0.936432949840079,273,0,1152
"CD14+ Mono","Naive CD4 T","S100A8","CD69",3.11407379656008e-05,452.6,0.0979302024276702,391,1.02479904054155,448,2.84211532404241,33,0.938335473676184,239,0,1152
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",3.29284979880642e-05,698.2,0.644497564043578,4,6.20966831337487,1,2.50025138145709,54,0.846657821252829,2280,0,1152
"CD14+ Mono","NK","S100A8","ITGB2",3.47749264554334e-05,329.2,0.120361373653136,247,1.51636769761633,189,3.64187720675425,10,0.959088175336765,48,0,1152
"CD14+ Mono","NK","S100A9","ITGB2",3.51562268261101e-05,359,0.0960835087656642,405,1.50368642174379,194,3.71581418069304,9,0.96201520296354,35,0,1152
"NK","NK","B2M","KLRD1",3.63202398596349e-05,404.8,0.0902044532082772,462,1.82715714144905,121,1.56244914971681,216,0.955202251460511,73,0,1152
"NK","FCGR3A+ Mono","CD99","PILRA",4.48925237789581e-05,481.6,0.101568636230315,354,1.39851019322997,221,1.58964097684115,199,0.927013393198814,482,0,1152
"CD14+ Mono","CD14+ Mono","S100A8","CD68",4.5244705496724e-05,317.8,0.156033586931444,141,1.53583082734115,182,3.81737608713669,7,0.952166913831721,107,0,1152
"Platelet","Platelet","F13A1","ITGB1",4.5614633172496e-05,463.4,0.454539872940357,13,4.47749896019726,19,2.55464040141301,48,0.90044198870078,1085,0,1152
"NK","CD8 T","SPON2","ITGB2",5.12819847076557e-05,464.6,0.0955531036480247,412,1.6238710996717,152,1.89965590822479,112,0.926332902013369,495,0,1152
"NK","FCGR3A+ Mono","HLA-A","LILRB1",5.4466248039325e-05,538.8,0.0852219475220179,501,1.3332916181456,254,1.21239389929516,423,0.932573636098111,364,0,1152
"CD14+ Mono","CD14+ Mono","S100A9","CD68",5.66755470496124e-05,327,0.124560347415699,226,1.52314955146861,186,3.89131306107547,2,0.955566180295686,69,0,1152
"NK","NK","B2M","CD247",6.32089104310333e-05,458.4,0.0608168473903444,866,1.70104413827351,139,1.79144728715829,134,0.967238155778477,1,0,1152
"NK","FCGR3A+ Mono","HLA-B","LILRB1",6.56078110827369e-05,569.6,0.0837942380017698,520,1.28315804778535,280,1.14527101959024,463,0.929082214278631,433,0,1152
"Platelet","CD8 T","PF4","CXCR3",7.40289404710862e-05,499,0.230368693712515,66,5.7891521774611,6,3.83410539334529,5,0.892398441133679,1266,0,1152
"NK","NK","SPON2","ITGAM",7.68495581091229e-05,802.2,0.205294230969501,76,1.68573192948437,144,2.00114407959764,93,0.832851733987166,2546,0,1152
"NK","FCGR3A+ Mono","HLA-C","LILRB1",7.77768246534418e-05,515.8,0.0820205234784464,538,1.44150281231252,203,1.27550561455363,381,0.934890699261928,305,0,1152
"NK","CD8 T","HLA-A","CD8A",8.14587943860013e-05,506,0.0814473708941206,543,1.13606674967744,357,1.40543878955539,300,0.943550002092693,178,0,1152
"NK","CD8 T","HLA-E","CD8A",9.1688060919906e-05,565.4,0.0802169750552745,556,0.996159948905112,478,1.32665388202533,347,0.935485547080636,294,0,1152
"NK","CD8 T","HLA-B","CD8A",9.3349033299127e-05,529.8,0.0800828962463818,558,1.08593317931719,396,1.33831590985047,339,0.940590742491015,204,0,1152
"NK","NK","HLA-E","KLRC1_KLRD1",9.84768957605468e-05,567.4,0.0984077695588022,384,1.17646306132325,336,1.24464595374077,401,0.923419670627182,564,0,1152
"CD14+ Mono","Memory CD4 T","S100A8","CD69",0.000101123973144298,404.8,0.114160292790614,280,1.09917773985919,380,2.91807539211861,25,0.942625708688775,187,0,1152
"NK","CD8 T","HLA-C","CD8A",0.000110361576565535,490.6,0.0783877415492413,577,1.24427794384437,302,1.46855050481386,257,0.945511908234102,165,0,1152
"Platelet","Platelet","TLN1","ITGB3",0.000117926644919023,524.6,0.338993426943665,30,4.30449377436139,23,2.29922936554034,66,0.888829319641269,1352,0,1152
"CD14+ Mono","B","S100A8","CD69",0.00012547215692511,409.4,0.112188624031244,290,1.09014204415278,390,2.97549310232874,24,0.942152777318469,191,0,1152
"Naive CD4 T","NK","B2M","KLRD1",0.000128683735341835,568.2,0.0784832147760122,574,1.07237564581377,411,0.993000683459507,595,0.952127977700258,109,0,1152
"NK","CD14+ Mono","SPON2","ITGAM",0.000131068991107109,785.2,0.217926810550055,69,1.70368021907129,138,1.98441395719957,95,0.836966988262615,2472,0,1152
"Platelet","Memory CD4 T","PF4","CXCR3",0.000131500083816892,524.2,0.208911240296236,74,5.76248080069278,8,3.82754936039023,6,0.887613422168554,1381,0,1152
