"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",1.30060443333691e-06,519,0.4198864595312,14,6.30874286521731,3,3.84419357476332,4,0.884963083781215,1431,0,1143
"Memory CD4 T","Platelet","CD40LG","CD9",5.03409725512435e-06,424.2,0.433987340123578,11,4.50470088040137,22,3.14338637728052,17,0.907044314585819,928,0,1143
"Platelet","DC","PF4","CXCR3",8.97730295261944e-06,439.4,0.319168365883705,29,6.33959999781435,2,4.02259530490078,1,0.902441485785239,1022,0,1143
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.20571400788329e-05,280,0.209277865680667,69,1.80828663169413,125,3.81064798664439,6,0.957724170177134,57,0,1143
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.45290691881572e-05,285,0.164627157459037,109,1.7931715654223,131,3.88482041222488,2,0.960709029932565,40,0,1143
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",2.01903686926239e-05,648.2,0.732090304811237,3,6.52703663252397,1,2.51520646070358,50,0.858174231045087,2044,0,1143
"Naive CD4 T","Platelet","CD40LG","CD9",3.00840767000427e-05,527.4,0.275509829434867,40,4.35223672407823,29,2.94281000524596,23,0.886035740228772,1402,0,1143
"NK","NK","SPON2","ITGB2",4.28713855455284e-05,314.2,0.166861816371804,104,2.04251419546571,107,2.57692269453371,45,0.943447717865028,172,0,1143
"CD14+ Mono","Memory CD4 T","S100A8","CD69",4.70013037735698e-05,393.6,0.114930718446273,242,1.09731930067245,370,2.91898567318332,26,0.941975194692295,187,0,1143
"CD14+ Mono","CD14+ Mono","S100A8","CD68",5.02266904293464e-05,313.2,0.157116988363502,124,1.52673814145086,179,3.78673178413273,7,0.951524558766797,113,0,1143
"Platelet","Memory CD4 T","PF4","CXCR3",5.60368082229182e-05,516.2,0.2305686118306,58,6.23678650759881,4,3.8171951691973,5,0.88716119216406,1371,0,1143
"CD14+ Mono","B","S100A8","CD69",6.22895104964361e-05,396.4,0.113069304159673,252,1.08890724928743,375,2.98700460851364,22,0.941527338600907,190,0,1143
"Memory CD4 T","NK","B2M","KLRD1",6.75101310323667e-05,471.4,0.0818724356913917,501,1.33788816994092,237,1.23961493662624,381,0.952950292287223,95,0,1143
"Platelet","Platelet","F13A1","ITGB1",7.78321365525491e-05,490.8,0.413263083540938,15,4.33852638463687,30,2.42964315041016,55,0.893615299012643,1211,0,1143
"CD14+ Mono","CD14+ Mono","S100A9","CD68",7.79910252359621e-05,320.8,0.123595121245531,200,1.51162307517903,184,3.86090420971321,3,0.954926537938039,74,0,1143
"CD14+ Mono","NK","S100A8","ITGB2",9.4632192345963e-05,318.8,0.120588520437713,210,1.51328722367373,182,3.60782308874031,10,0.958723590108644,49,0,1143
"Memory CD4 T","NK","HLA-B","KLRD1",0.000107644976940244,559,0.078610437855417,550,1.13855551560187,333,1.08020347259127,501,0.936617396041975,268,0,1143
"CD14+ Mono","NK","CD14","ITGB2",0.000110612950810843,375,0.142853497119355,146,1.33936910914439,236,2.27269039009687,65,0.935348993581829,285,0,1143
"Platelet","Platelet","TLN1","ITGB3",0.00011667509893813,515,0.36323036473646,23,4.51763591939869,21,2.28106025785837,63,0.888551798888325,1325,0,1143
"NK","Platelet","CALR","ITGA2B",0.000128061269420882,333.6,0.213891931575295,65,6.2182262133381,5,2.72764605516907,39,0.929469968084998,416,0,1143
"CD14+ Mono","NK","S100A9","ITGB2",0.000128692903690667,350.8,0.0948602245979693,379,1.49817215740191,187,3.68199551432079,9,0.96164071266123,36,0,1143
"Memory CD4 T","Platelet","IL32","ITGB3",0.000129825756766404,390,0.26318512427086,43,4.08914476950785,43,1.7171103039381,150,0.922726424452266,571,0,1143
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",0.000131076386577828,581.2,0.466609881130408,9,5.01995087029067,15,2.05190277666499,85,0.875649327050101,1654,0,1143
"Memory CD4 T","Platelet","IL16","CD9",0.00014042049393902,478.8,0.147457916224032,134,4.33118883012105,32,2.85127881434891,29,0.900578947618198,1056,0,1143
"Platelet","CD8 T","PF4","CXCR3",0.0001432717850857,545,0.210277584645211,68,6.21324026475328,6,3.77519301452524,8,0.882467427955918,1500,0,1143
"Memory CD4 T","DC","B2M","CD1C",0.000151620105859612,479.2,0.0915511013187264,405,1.83447977433408,118,0.979950276264819,589,0.948358569560025,141,0,1143
"Platelet","Platelet","TGFB1","ITGB3",0.000152991449985728,486.8,0.306944732689752,33,4.38412212986553,27,2.17912688181589,69,0.895913145485256,1162,0,1143
"CD14+ Mono","CD14+ Mono","S100A8","ITGB2",0.000154211842469092,450.4,0.0743874195007576,591,1.12132112177267,352,3.02989352688328,20,0.948032143716104,146,0,1143
"CD14+ Mono","NK","HLA-B","KLRD1",0.000160846501904728,597.4,0.074146761078181,596,1.04527782219199,410,1.03057272746628,538,0.934859902315557,300,0,1143
"Platelet","CD8 T","SNCA","LAG3",0.000173659591679248,641.4,0.608006805824688,6,3.79897233340641,56,2.16345880506387,72,0.86373744419097,1930,0,1143
"NK","FCGR3A+ Mono","SPON2","ITGB2",0.000194780236037153,351.4,0.133621781649976,171,1.83871303438537,117,2.13306204322975,74,0.937221031310221,252,0,1143
"Platelet","Memory CD4 T","MYL9","CD69",0.000203978143260822,374.4,0.193618711999694,76,4.49901263665621,23,2.44443197672367,54,0.92260935912396,576,0,1143
"B","FCGR3A+ Mono","CD52","SIGLEC10",0.000205613671308352,627.8,0.0917632979104682,404,1.07331879548643,388,0.946214827728412,626,0.922492574651159,578,0,1143
"B","NK","HLA-B","KLRD1",0.000220825360473375,620.2,0.071838611627472,635,0.997044299122984,455,1.02542097984578,546,0.933890345743815,322,0,1143
"Memory CD4 T","Memory CD4 T","B2M","CD3D",0.000223672269569199,1101,0.0350155678979619,1601,0.609114859320388,1097,0.426525884377616,1654,0.965085474603527,10,0,1143
"CD14+ Mono","CD8 T","S100A8","CD69",0.000229657266598541,493.4,0.0855202839845008,466,0.964408487787196,479,2.6999017588752,40,0.9333496996212,339,0,1143
"Platelet","B","MYL9","CD69",0.000237604168103739,377,0.190482869454363,80,4.49060058527119,24,2.51245091205398,51,0.922024403773503,587,0,1143
"CD14+ Mono","NK","S100A8","CD69",0.000242494406241171,571.2,0.0709599367087949,647,0.898607773594376,556,2.52531886047152,47,0.927304419941927,463,0,1143
"Memory CD4 T","FCGR3A+ Mono","HLA-C","LILRA3",0.000269890513126335,594.6,0.0859273786157025,462,1.05387536212318,402,0.920946382038136,661,0.934722459058863,305,0,1143
"Platelet","DC","APP","CD74",0.000279080091166392,355.4,0.108067326161253,276,1.90872677275599,113,2.31604429466836,60,0.94207936945738,185,0,1143
"CD14+ Mono","Naive CD4 T","S100A8","CD69",0.000282364107693354,438,0.0994124086002516,338,1.02718938882362,433,2.83292971989624,31,0.937881634506958,245,0,1143
"CD14+ Mono","CD14+ Mono","CD14","ITGB2",0.000284487136531454,580,0.0881220117702378,436,0.947403007243328,495,1.69476082823985,158,0.919113851833324,668,0,1143
"Platelet","NK","GP1BA","ITGAM_ITGB2",0.00030490406133298,436.8,0.213201984273634,66,4.62803791317109,19,2.03451236724786,87,0.910277256223023,869,0,1143
"CD14+ Mono","FCGR3A+ Mono","CD14","ITGB2",0.000310974576550297,458.2,0.114396086624666,245,1.13556794806405,337,1.8288297387929,122,0.928298366907556,444,0,1143
"CD14+ Mono","B","TNFSF13B","HLA-DPB1",0.00032257683691937,488.4,0.0680899528990642,685,1.19940307620557,297,2.25368746283863,66,0.937527170929152,251,0,1143
"Platelet","B","APP","CD74",0.000325663785326936,355.8,0.105134254683125,287,1.86393117720158,115,2.66894844014833,41,0.941324063281883,193,0,1143
"Platelet","NK","CLEC1B","KLRB1",0.000326208798331162,662.8,0.431717709832223,12,4.66918299977682,18,1.99985213344123,89,0.857830324749431,2052,0,1143
"Platelet","Platelet","CALM3","MYLK",0.000326208798331162,567.6,0.377880818792233,19,3.26327102296441,89,2.09366094773064,79,0.882242984313339,1508,0,1143
"CD14+ Mono","CD8 T","S100A8","ITGB2",0.000341858588114848,483.2,0.0673696628614443,693,1.06178308786834,395,2.92938001337472,25,0.945536256865175,160,0,1143
"Memory CD4 T","Platelet","SELPLG","ESAM",0.000348647114821591,873.4,0.118340843254731,219,3.48762818753414,81,1.38081080081126,292,0.826346012722214,2632,0,1143
"NK","FCGR3A+ Mono","HLA-C","LILRA3",0.000348647114821591,408,0.10493619255358,292,1.56660152222656,171,1.48805070879674,232,0.940561037211403,202,0,1143
