"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",2.02963570294473e-06,491.9,0.397392739681547,17,5.65334456943837,2,3.84379996370261,3,0.888320803309903,1380,0,1057.5
"Memory CD4 T","Platelet","IL32","ITGB3",9.20296761475996e-06,317.3,0.271088482374159,52,4.23970403922746,23,1.91437956200227,102,0.931829763803672,352,0,1057.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRA3",1.70070871319255e-05,455.5,0.0966321671140389,398,1.37909332027778,231,1.3036693362182,355,0.938405448936325,236,0,1057.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",1.76576864739504e-05,269.3,0.216201088057549,83,1.81135376631414,144,3.81919129376137,5,0.957454498898348,57,0,1057.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.84324288257055e-05,633.3,0.913086040350298,3,5.89250605055778,1,2.49556640101691,51,0.861690538919855,2054,0,1057.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",1.8653105721623e-05,275.9,0.170255890033696,135,1.80129639127899,146,3.91213980026459,1,0.960766461550244,40,0,1057.5
"CD8 T","Platelet","IL32","ITGB3",2.33369372968275e-05,310.1,0.284383358303161,47,4.28713894783089,22,1.92834599128645,99,0.933334809010775,325,0,1057.5
"Platelet","FCGR3A+ Mono","PF4","LRP1",2.4341719525696e-05,575.9,0.300492217344288,39,5.57213648004129,7,3.7191716221745,9,0.873686079552684,1767,0,1057.5
"Memory CD4 T","Platelet","CD40LG","CD9",2.82646525235736e-05,449.5,0.389156647059841,19,3.84865190549846,41,3.10869650074084,19,0.89914605921725,1111,0,1057.5
"Platelet","DC","PF4","CXCR3",3.03743677859651e-05,442.1,0.286918647494482,42,5.65241797471547,3,3.77572612221379,6,0.899467690771621,1102,0,1057.5
"Platelet","Memory CD4 T","PF4","CXCR3",3.2755488263155e-05,490.5,0.236298069806694,68,5.59133600617568,4,3.82222753815993,4,0.890345162803623,1319,0,1057.5
"CD8 T","DC","B2M","CD1C",3.28468585782059e-05,427.1,0.0977208798130021,386,2.11931511991074,109,1.1652969445431,447,0.949205232722397,136,0,1057.5
"CD8 T","NK","HLA-B","KLRD1",3.78267456467371e-05,440.5,0.0903475087070175,467,1.41535448181837,222,1.45629686259408,261,0.940905588788203,195,0,1057.5
"Naive CD4 T","Platelet","CD40LG","CD9",5.11219100485569e-05,532.1,0.285573063242358,46,3.74978847970461,50,2.94591230448366,26,0.884221644786978,1481,0,1057.5
"NK","NK","SPON2","ITGB2",5.76864377142272e-05,311.1,0.171288629671501,131,1.96906403472427,121,2.48877717120956,52,0.940990234297594,194,0,1057.5
"CD8 T","NK","B2M","KLRD1",5.87577905573585e-05,414.9,0.0867711405146473,510,1.63384838658825,179,1.47552179255369,250,0.954275587425579,78,0,1057.5
"Platelet","Platelet","TGFB1","ITGB3",6.79392210830836e-05,403.3,0.349001231282393,26,4.5906119592537,19,2.36802535186161,55,0.910294503583068,859,0,1057.5
"CD8 T","FCGR3A+ Mono","HLA-C","LILRB1",6.85714443232938e-05,505.9,0.0849745183738039,526,1.38984802985132,230,1.18533223691946,426,0.935297382085769,290,0,1057.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",6.9055245864919e-05,306.1,0.162874423785204,145,1.52936797213232,203,3.76574620444115,8,0.951297170262743,117,0,1057.5
"CD8 T","FCGR3A+ Mono","HLA-A","LILRB1",6.92257472548558e-05,537.1,0.087191948259832,504,1.2994431034958,261,1.06977251177037,527,0.932923809611348,336,0,1057.5
"CD8 T","FCGR3A+ Mono","HLA-B","LILRB1",7.74744322454408e-05,569.3,0.0842845940256229,537,1.23237524182361,298,1.05665700874852,539,0.92891257865775,415,0,1057.5
"Memory CD4 T","Platelet","CD40LG","ITGA2B_ITGB3",7.75105709079904e-05,592.5,0.423416625876872,14,4.70417239181041,17,2.07604437611259,81,0.87275832534313,1793,0,1057.5
"Platelet","Platelet","F13A1","ITGB1",7.96008141466233e-05,506.1,0.405289346766112,16,4.01441650232491,26,2.3449596708488,58,0.888662752708531,1373,0,1057.5
"Memory CD4 T","Platelet","IL16","CD9",8.35608416259681e-05,488.9,0.142758035241315,181,3.71669831536158,53,2.81671173632271,32,0.898737835158938,1121,0,1057.5
"Platelet","Platelet","TLN1","ITGB3",8.37638320388194e-05,485.7,0.324315707466903,34,4.50878296101344,20,2.3435851377118,59,0.893327504986721,1258,0,1057.5
"Memory CD4 T","NK","B2M","KLRD1",8.72790408620823e-05,461.7,0.082700697973047,552,1.37518450206641,233,1.27777934941801,374,0.953215860445145,92,0,1057.5
"Memory CD4 T","Platelet","HSP90AA1","ITGB3",9.67097143135419e-05,489.1,0.136251081067766,194,3.92075929078587,36,1.5449630864009,216,0.906403669274882,942,0,1057.5
"Platelet","CD8 T","PF4","CXCR3",0.000100191801185401,514.5,0.220666715221946,77,5.57247423192117,6,3.76823123474972,7,0.886959319303261,1425,0,1057.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",0.000102017366166785,311.9,0.128261750365909,224,1.51931059709717,204,3.85869471094437,2,0.955065956571329,72,0,1057.5
"CD8 T","FCGR3A+ Mono","B2M","LILRB1",0.000103370143123349,504.7,0.0809482237649048,571,1.45086914659348,215,1.07588193870813,522,0.94483689303885,158,0,1057.5
"CD14+ Mono","NK","S100A8","ITGB2",0.000113280485629497,312.9,0.126673225988386,230,1.47455783914354,210,3.53304381592026,11,0.957532865341058,56,0,1057.5
"Naive CD4 T","NK","B2M","KLRD1",0.000136898682789093,547.3,0.0781340698267977,604,1.08498957524865,400,1.03353795456767,566,0.951932882433492,109,0,1057.5
"Memory CD4 T","NK","HLA-B","KLRD1",0.000139180277219364,548.5,0.0779908408477655,606,1.16512378400504,334,1.11230158854961,482,0.93668177640952,263,0,1057.5
