"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"Platelet","CD14+ Mono","PF4","LRP1",3.16357818000421e-06,524.3,0.38436159821459,22,6.22662546367867,4,3.78457407394979,6,0.88211637778529,1490,0,1099.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","CD68",7.37023203301458e-06,278.9,0.197604902848942,105,1.83305469956787,129,3.83160308719338,4,0.957265111358475,57,0,1099.5
"Memory CD4 T","Platelet","CD40LG","CD9",8.00433630697124e-06,416.9,0.404554355381726,16,4.63608369225462,23,2.93599609939257,30,0.906724403453027,916,0,1099.5
"Platelet","FCGR3A+ Mono","PF4","LRP1",9.70899116065692e-06,551.5,0.351126873032503,32,6.1986989262017,5,3.7398963596648,9,0.877332437869156,1612,0,1099.5
"FCGR3A+ Mono","Platelet","ICAM4","ITGA2B",1.48059519540542e-05,588.3,0.689506854625846,3,6.6114243525914,1,2.62619267286906,45,0.870164646306094,1793,0,1099.5
"Platelet","DC","PF4","CXCR3",1.48059519540542e-05,405.5,0.314887298586411,44,6.27861761303428,3,4.07075915533494,1,0.908403301790896,880,0,1099.5
"CD14+ Mono","B","S100A8","CD69",1.64212025278149e-05,393.5,0.127195441603179,249,1.13716194178011,415,3.07303657106753,22,0.942546252245798,182,0,1099.5
"CD14+ Mono","FCGR3A+ Mono","S100A9","CD68",2.20940515017059e-05,288.5,0.15482909303575,170,1.81640488838895,130,3.89768965625441,2,0.96021575514698,41,0,1099.5
"CD14+ Mono","CD14+ Mono","S100A8","CD68",2.53595922980318e-05,313.7,0.151945218465963,176,1.57231576135265,172,3.80146293252267,5,0.951555995614921,116,0,1099.5
"CD14+ Mono","Memory CD4 T","S100A8","CD69",2.56122186828492e-05,410.1,0.118546972246699,270,1.10093242765266,447,2.9333421039375,31,0.940609678519687,203,0,1099.5
"NK","NK","SPON2","ITGB2",3.15860850330048e-05,323.9,0.157521776776047,160,1.95653174202274,123,2.5457527013605,51,0.941859755101446,186,0,1099.5
"CD14+ Mono","CD14+ Mono","S100A9","CD68",3.43017684338866e-05,324.5,0.119053424419271,268,1.55566595017373,178,3.8675495015837,3,0.954882248264126,74,0,1099.5
"Naive CD4 T","Platelet","CD40LG","CD9",3.90999719982579e-05,482.5,0.302402721177338,51,4.53482121113872,26,2.84978376296684,35,0.893667879969488,1201,0,1099.5
"CD14+ Mono","DC","TNFSF13B","HLA-DPB1",4.82112777437224e-05,415.1,0.0846927135795818,533,1.47233730520314,204,2.46464908508523,56,0.94235872555955,183,0,1099.5
"CD14+ Mono","DC","S100A8","CD68",4.95479234040141e-05,451.9,0.0865238590194133,513,1.19872807608498,363,3.03126621928356,25,0.93679849126413,259,0,1099.5
"Memory CD4 T","NK","B2M","KLRD1",5e-05,475.7,0.0837321115626019,551,1.39146964820503,247,1.29136285613222,408,0.954932690489848,73,0,1099.5
"Memory CD4 T","DC","B2M","CD1C",5.37367070347013e-05,465.3,0.0938382681887857,437,2.03110774123237,122,1.0906736106317,559,0.952054714762278,109,0,1099.5
"Platelet","Platelet","F13A1","ITGB1",5.44974540431646e-05,476.1,0.393983554649568,20,5.0866951882542,17,2.44959882904894,57,0.894289117079032,1187,0,1099.5
"B","B","BTLA","CD79A",6.04045244482962e-05,693.9,0.371933459198321,25,1.4346388174743,223,2.41889267100984,59,0.858758045229654,2063,0,1099.5
"CD14+ Mono","FCGR3A+ Mono","CD14","ITGB2",6.24200952717434e-05,483.5,0.107646166697615,338,1.14234963231508,411,1.83726598172605,132,0.927705855370279,437,0,1099.5
"Memory CD4 T","NK","HLA-B","KLRD1",6.29638210384009e-05,549.9,0.0820772317337953,577,1.21740902838654,350,1.15382628792481,503,0.939496142299488,220,0,1099.5
"Platelet","Platelet","THBS1","ITGA2B_ITGB3",6.35108692594579e-05,662.1,0.883100479126205,2,5.93056850971827,10,2.40293326310728,60,0.855460265692248,2139,0,1099.5
"CD14+ Mono","DC","CD14","ITGB2",6.46177717449907e-05,587.9,0.0898662517853154,480,1.00713079325341,539,1.52880280545418,241,0.92141342992772,580,0,1099.5
"CD14+ Mono","FCGR3A+ Mono","S100A8","ITGB2",7.59182383681388e-05,382.7,0.0936712323351762,439,1.33074888974805,272,3.18228642883713,18,0.953993813847381,85,0,1099.5
"Platelet","Memory CD4 T","PF4","CXCR3",8.04931763704047e-05,493.3,0.214256986667171,85,6.15035255484363,7,3.77800663000894,7,0.891075473635472,1268,0,1099.5
"CD14+ Mono","DC","S100A8","ITGB2",9.54002942497272e-05,451.7,0.0781995570146043,627,1.19553005068638,367,2.87382325256526,33,0.949865821247624,132,0,1099.5
"Platelet","CD8 T","SNCA","LAG3",9.63537744270116e-05,608.5,0.627181512312641,6,4.41911276462822,32,2.30182031388174,69,0.868372595996389,1836,0,1099.5
